ExperimentName	subjID	SessionDate	accept	offer	accept	Wait2.RT	targettext	trail
part1_UG_gain_f_red_1	18	01-06-2020	0	3.0	0	535.0	2.0	38
part1_UG_gain_f_red_1	18	01-06-2020	0	2.0	0	304.0	2.0	39
part1_UG_gain_f_red_1	18	01-06-2020	1	4.0	1	621.0	4.0	40
part1_UG_gain_f_red_1	22	01-06-2020	1	5.0	1	2485.0	5.0	1
part1_UG_gain_f_red_1	22	01-06-2020	1	2.0	1	3198.0	4.0	2
part1_UG_gain_f_red_1	22	01-06-2020	0	3.0	0	7532.0	2.0	3
part1_UG_gain_f_red_1	22	01-06-2020	0	1.0	0	7433.0	2.0	4
part1_UG_gain_f_red_1	22	01-06-2020	1	4.0	1	911.0	5.0	5
part1_UG_gain_f_red_1	22	01-06-2020	1	3.0	1	621.0	4.0	6
part1_UG_gain_f_red_1	22	01-06-2020	1	1.0	1	1173.0	3.0	7
part1_UG_gain_f_red_1	22	01-06-2020	1	2.0	1	752.0	4.0	8
part1_UG_gain_f_red_1	22	01-06-2020	1	5.0	1	1404.0	3.0	9
part1_UG_gain_f_red_1	22	01-06-2020	1	4.0	1	1102.0	5.0	10
part1_UG_gain_f_red_1	22	01-06-2020	1	1.0	1	1087.0	3.0	11
part1_UG_gain_f_red_1	22	01-06-2020	1	4.0	1	663.0	5.0	12
part1_UG_gain_f_red_1	22	01-06-2020	1	5.0	1	1012.0	5.0	13
part1_UG_gain_f_red_1	22	01-06-2020	1	3.0	1	909.0	4.0	14
part1_UG_gain_f_red_1	22	01-06-2020	1	2.0	1	1276.0	3.0	15
part1_UG_gain_f_red_1	22	01-06-2020	1	3.0	1	864.0	4.0	16
part1_UG_gain_f_red_1	22	01-06-2020	1	1.0	1	1910.0	3.0	17
part1_UG_gain_f_red_1	22	01-06-2020	1	5.0	1	828.0	5.0	18
part1_UG_gain_f_red_1	22	01-06-2020	1	2.0	1	1770.0	3.0	19
part1_UG_gain_f_red_1	22	01-06-2020	1	4.0	1	718.0	4.0	20
part1_UG_gain_f_red_1	22	01-06-2020	1	4.0	1	1231.0	4.0	21
part1_UG_gain_f_red_1	22	01-06-2020	1	5.0	1	817.0	5.0	22
part1_UG_gain_f_red_1	22	01-06-2020	1	1.0	1	2108.0	2.0	23
part1_UG_gain_f_red_1	22	01-06-2020	1	3.0	1	3716.0	4.0	24
